       EEG1       EEG2       EEG3       EEG4
       17.8        9.4       17.1       -8.1
       13.8        4.9       17.6       -6.8
        7.1       -2.4       16.6       -3.9
       -0.9      -10.5       14.4       -2.9
       -7.8      -17.3       11.6       -3.5
      -11.5      -21.0        9.3       -4.4
      -12.5      -21.6        7.0       -6.3
      -11.5      -20.1        4.5       -8.5
       -8.6      -17.8        2.4       -8.8
       -5.3      -15.4        1.1       -6.1
       -3.0      -13.3        0.9       -1.6
       -2.9      -12.0        0.6        4.1
       -5.1      -13.5       -0.6       11.6
       -8.9      -17.9       -2.5       17.5
      -12.4      -22.0       -4.1       16.0
      -13.6      -22.4       -5.0        8.9
      -11.4      -19.0       -4.9        1.6
       -6.8      -14.6       -4.1       -2.9
       -1.9      -11.5       -3.1       -4.6
        1.9      -10.0       -1.8       -6.3
        4.0       -9.6        0.0       -9.0
        3.8      -10.3        1.6      -12.0
        1.0      -12.0        2.6      -14.6
       -3.0      -13.8        2.1      -16.6
       -5.5      -14.5       -0.3      -16.8
       -5.1      -14.1       -3.5      -15.1
       -2.1      -12.9       -5.8      -14.3
        1.5      -11.1       -5.5      -14.0
        3.6       -9.9       -3.5      -13.3
        2.9      -10.6       -1.5      -14.6
       -0.5      -14.1        0.1      -17.9
       -6.0      -19.6        1.4      -19.1
      -12.5      -25.1        2.4      -17.6
      -19.0      -28.9        2.5      -14.4
      -24.1      -29.3        1.0      -11.1
      -25.3      -24.1       -1.6       -9.4
      -21.1      -14.3       -4.9       -8.6
      -13.5       -3.5       -7.9       -8.5
       -5.4        5.0       -9.0      -10.0
        0.8       11.5       -7.4      -12.5
        4.5       15.8       -3.5      -13.5
        5.8       16.3        0.9      -11.4
        3.6       12.6        3.3       -7.0
        0.5        6.9        2.9       -1.0
        0.4        1.0        0.6        4.6
        3.0       -3.9       -2.4        5.5
        3.5       -6.5       -5.5        1.5
       -0.3       -6.3       -8.3       -2.0
       -5.6       -3.6      -10.1       -1.9
       -9.5        0.0      -11.0        0.1
      -11.9        2.4      -11.4       -0.3
      -14.8        2.6      -12.4       -3.3
      -17.1        1.4      -13.6       -5.5
      -16.4       -0.3      -13.9       -5.9
      -13.0       -1.3      -12.1       -6.1
       -9.5       -1.4       -8.5       -6.4
       -6.9       -1.4       -4.0       -5.9
       -4.9       -2.1        0.1       -5.0
       -2.9       -3.3        2.8       -3.9
       -0.9       -4.3        3.6       -1.6
        0.5       -4.6        3.3        0.8
        1.4       -4.4        2.6        2.9
        1.4       -4.8        2.4        4.8
       -0.6       -6.4        1.5        3.4
       -3.8       -8.1       -0.9       -1.6
       -5.1       -8.8       -3.8       -5.1
       -3.8       -8.0       -5.3       -4.0
       -2.6       -6.3       -5.1       -0.3
       -3.0       -4.4       -4.1        2.6
       -2.9       -3.1       -3.1        3.3
       -1.6       -1.6       -2.6        2.6
       -1.1        1.0       -2.6        1.8
       -3.4        3.9       -3.4        0.8
       -8.6        4.3       -4.5        0.0
      -14.5        1.5       -5.3       -0.1
      -16.6       -2.1       -4.4        1.1
      -13.0       -5.0       -1.3        5.1
       -6.5       -6.9        3.4        8.5
       -2.0       -7.0        7.4        6.5
       -1.5       -4.8        9.3        2.0
       -2.1       -1.0        9.6        0.5
       -1.6        2.5        9.5        2.5
       -1.6        3.9        8.6        5.1
       -3.9        2.8        6.9        6.3
       -8.1       -1.0        5.0        5.9
      -12.9       -6.9        4.0        4.3
      -15.9      -12.3        3.5        1.5
      -14.8      -14.0        2.8       -1.5
       -8.6      -11.3        1.5       -3.3
        0.3       -5.9       -0.3       -3.3
        7.6       -1.0       -2.6       -1.8
       10.5        2.3       -5.4        1.3
        8.5        3.8       -8.1        5.8
        3.9        2.9      -10.0        9.1
       -0.8       -0.3      -10.3        7.1
       -4.0       -3.9       -9.3        1.5
       -5.4       -7.0       -7.3       -3.3
       -5.1       -9.9       -3.9       -4.6
       -3.5      -12.3        0.8       -3.1
       -1.0      -11.1        4.9       -1.6
        1.6       -4.4        6.8       -0.6
        3.4        3.9        6.0        1.3
        3.6        7.0        3.4        2.9
        2.5        3.6       -0.1        2.4
        0.6       -3.3       -3.1        0.5
       -1.1       -9.9       -5.0       -1.9
       -1.4      -13.1       -5.8       -4.4
        0.8      -10.9       -6.3       -4.5
        3.5       -4.5       -6.8       -1.1
        4.4        0.9       -6.4        1.1
        1.9        1.6       -4.6       -0.4
       -2.9       -0.9       -2.5       -3.1
       -7.4       -2.9       -0.8       -4.3
       -9.9       -2.8        0.3       -3.0
      -10.6       -1.4        0.4       -0.8
      -11.0        0.8       -0.6        1.5
      -12.1        3.3       -2.6        4.1
      -13.3        5.6       -4.9        7.0
      -12.5        6.6       -5.9        8.8
       -9.4        5.1       -4.6        8.4
       -4.8        2.6       -1.8        7.0
       -0.1        1.9        1.1        6.4
        3.1        2.8        2.0        5.3
        4.8        2.1        0.4        1.8
        5.5       -1.4       -1.9       -2.6
        5.0       -5.4       -2.8       -5.0
        1.5       -8.0       -2.5       -3.5
       -5.8       -9.8       -2.9        0.0
      -13.6      -10.9       -4.0        2.0
      -18.1      -10.0       -4.5        2.1
      -17.3       -6.9       -4.0        1.6
      -11.9       -3.3       -2.8        0.4
       -4.3       -0.4       -0.5       -1.3
        2.5        1.5        2.4       -2.1
        4.9        2.3        4.8       -0.8
        2.1        1.3        5.3        2.6
       -1.9       -1.9        3.5        4.4
       -3.5       -6.8        0.8        2.5
       -2.5      -11.3       -1.8       -1.0
       -0.4      -11.6       -3.3       -3.9
        1.0       -7.5       -3.1       -5.4
        0.0       -3.0       -2.8       -6.9
       -2.3       -1.0       -2.9       -8.6
       -3.6       -1.6       -3.0       -9.1
       -4.5       -3.6       -2.9       -7.4
       -5.3       -7.1       -3.4       -3.8
       -4.8      -11.5       -4.8        0.3
       -2.0      -12.1       -6.6        2.5
        2.0       -7.3       -9.0        2.1
        4.8       -0.5      -11.1        0.3
        5.1        4.9      -11.6       -1.4
        3.8        7.1      -10.1       -0.6
        0.9        5.5       -7.9        2.5
       -2.6        1.6       -6.1        3.6
       -4.5       -1.5       -4.6        0.6
       -2.4       -1.0       -2.6       -3.4
        3.0        4.1       -0.3       -5.3
        8.6       11.5        1.6       -4.8
       12.1       18.3        2.8       -4.4
       13.1       23.1        3.8       -4.6
       12.6       24.4        5.0       -3.0
       10.8       20.8        5.5        1.5
        7.6       13.9        4.0        5.0
        5.5        7.0        0.4        3.5
        6.0        3.4       -4.5       -0.6
        8.3        4.6       -9.5       -3.1
        9.4        7.3      -14.3       -2.3
        7.4        7.0      -18.0        1.6
        2.3        3.5      -19.6        6.0
       -4.9       -2.3      -18.8        7.5
      -12.1       -7.8      -16.0        4.5
      -16.0       -9.3      -12.8       -0.1
      -14.3       -7.4      -10.1       -2.1
       -7.8       -4.9       -8.3       -1.0
        0.3       -1.1       -6.0        0.1
        6.6        3.0       -2.6        0.3
        9.3        4.0        1.4        2.3
        7.9        0.9        4.9        6.0
        4.8       -4.3        7.0        8.5
        2.4       -9.0        7.6        9.5
        1.5      -10.9        7.1        9.8
        1.8       -9.3        5.6        8.3
        2.9       -6.4        4.0        5.3
        4.8       -2.6        3.0        2.8
        7.1        1.6        1.9        2.1
        9.6        4.3       -0.6        4.4
       11.5        4.5       -4.6        7.9
       11.6        2.8       -9.1        7.9
        9.4       -1.8      -13.4        4.4
        4.5       -8.0      -16.3        1.5
       -2.5      -13.4      -17.8        1.3
       -9.6      -17.1      -18.3        1.4
      -12.8      -18.5      -17.5       -1.1
       -9.1      -15.8      -15.5       -5.9
       -1.0      -10.6      -13.0       -9.1
        5.9       -6.8      -10.6       -8.8
        7.4       -5.9       -8.9       -7.8
        4.1       -7.9       -7.3       -7.9
        0.3      -10.1       -5.4       -6.6
       -0.8       -9.5       -3.6       -3.4
        1.9       -7.0       -2.5        1.1
        6.5       -7.5       -1.8        4.4
       11.4      -10.9       -1.0        3.1
       14.5      -12.5       -0.5        0.1
       13.6      -10.9       -1.1       -0.5
        8.8       -8.5       -3.1        0.3
        2.5       -7.8       -5.5        1.1
       -1.9       -9.1       -7.4        1.9
       -3.4      -11.8       -8.1        2.1
       -2.5      -13.6       -8.3        3.5
        1.3      -13.6       -7.9        6.0
        7.6      -11.4       -6.6        7.0
       13.5       -5.8       -5.4        5.8
       16.6        1.4       -5.1        3.9
       17.3        5.8       -5.3        2.8
       16.4        6.8       -5.3        2.4
       14.3        5.9       -5.1        2.1
       11.0        2.3       -4.8        2.6
        8.4       -4.8       -3.8        3.6
        6.8      -13.1       -2.8        0.5
        4.9      -20.9       -2.6       -7.4
        2.4      -26.6       -3.5      -13.1
       -1.0      -29.9       -4.8      -12.8
       -5.5      -31.8       -5.3       -8.3
      -10.3      -33.3       -4.6       -3.3
      -13.3      -34.5       -2.9        0.5
      -12.9      -35.8        0.5        4.3
      -10.1      -37.1        4.8        7.0
       -7.9      -38.4        7.9        6.5
       -7.6      -39.6        9.1        5.0
       -8.9      -40.8        9.5        5.4
      -11.0      -40.4        9.8        7.1
      -13.5      -38.4        9.5       10.8
      -16.3      -36.9        8.1       15.4
      -18.8      -37.1        6.6       16.3
      -19.8      -38.1        6.4       13.0
      -18.8      -37.5        7.5       10.0
      -15.8      -32.8        9.0        9.9
      -10.6      -23.4       10.4       12.1
       -4.0      -12.4       11.4       15.9
        2.4       -3.6       11.1       18.1
        6.3        0.9        9.1       15.3
        6.8        0.6        5.9        9.6
        4.3       -4.3        2.9        6.0
       -0.6      -11.9        1.3        4.8
       -6.3      -19.5        1.4        4.0
      -10.0      -24.6        2.6        2.8
       -9.9      -25.4        3.5        2.8
       -5.8      -21.8        2.8        5.9
        0.9      -16.3        0.9        9.6
        6.8      -10.1       -1.0       10.0
        8.5       -3.8       -2.3        8.1
        5.3        1.0       -2.8        6.9
       -0.4        2.1       -2.6        6.6
       -4.9       -0.8       -2.8        7.5
       -6.8       -6.0       -3.8        8.0
       -6.1      -10.6       -5.4        7.1
       -3.6      -12.6       -5.9        6.5
       -0.4      -12.6       -4.1        6.9
        0.4      -12.5       -1.3        7.6
       -3.8      -13.5        0.4        9.1
      -11.4      -15.3        0.1       12.3
      -18.8      -16.9       -1.4       15.4
      -22.1      -17.5       -2.6       14.5
      -19.8      -15.1       -2.1       11.0
      -12.5       -8.6       -0.4        9.5
       -2.8       -0.5        1.5        9.3
        6.1        5.3        2.6        8.6
       10.6        6.3        2.5        7.6
       10.8        3.1        1.6        7.0
        9.4       -1.1        0.3        7.5
        8.4       -3.4       -1.8        7.5
        6.9       -2.8       -3.6        6.4
        3.5       -0.8       -4.5        6.0
       -0.3        1.1       -4.0        6.8
       -2.0        2.3       -2.4        7.4
       -1.9        1.3       -0.3        8.3
       -2.8       -3.6        1.3        9.9
       -7.1      -11.8        1.5       11.0
      -13.6      -19.1        0.9       11.4
      -19.1      -22.9        0.5       10.6
      -22.0      -23.8        0.5        7.5
      -21.4      -22.9        0.5        3.4
      -15.1      -19.1        0.9       -1.3
       -2.5      -11.5        2.8       -6.0
       12.1       -2.3        6.3       -8.1
       21.5        4.5       10.4       -6.0
       22.4        7.4       13.3       -0.1
       17.8        8.5       13.8        6.8
       13.4        9.4       12.5       12.0
       12.8        9.6       10.9       15.0
       15.5        9.5        9.5       15.9
       19.3       10.1        9.1       14.9
       20.5       11.0        9.6       13.6
       17.6       10.0        9.6       13.3
       12.4        6.8        8.3       13.8
        8.0        2.8        5.5       12.9
        5.8        0.1        1.9        8.5
        4.4       -1.0       -1.3        2.8
        2.8       -1.9       -3.1       -0.3
        1.8       -2.3       -4.0        0.3
        2.4       -0.6       -4.5        1.4
        4.0        2.9       -5.5        0.6
        5.0        6.4       -7.4       -1.8
        3.8        8.1       -9.1       -4.4
       -1.4        7.6       -9.4       -7.0
      -10.4        5.0       -8.0       -8.5
      -20.6        1.1       -5.4       -7.0
      -27.5       -2.6       -1.6       -1.5
      -27.8       -4.9        2.3        4.1
      -21.9       -5.1        4.6        3.3
      -13.3       -3.4        4.5       -2.5
       -4.4        0.6        2.4       -6.4
        2.9        6.9       -0.4       -5.9
        7.3       12.8       -2.4       -4.0
        9.9       14.8       -3.3       -4.5
       13.0       13.9       -3.3       -5.9
       18.9       14.5       -2.6       -5.0
       26.3       19.5       -1.9       -2.8
       29.6       27.3       -2.4       -1.1
       25.4       33.3       -4.9        0.1
       16.3       34.6       -8.1        0.6
        7.9       31.8       -9.6        0.1
        2.9       27.4       -8.4        0.0
        0.3       22.8       -6.1       -0.8
       -2.3       17.8       -4.5       -3.6
       -6.5       11.9       -3.4       -7.5
      -11.8        6.1       -2.4       -9.6
      -14.5        2.8       -2.1       -9.0
      -12.3        3.5       -2.8       -6.4
       -5.1        7.3       -3.5       -2.6
        4.5       11.1       -3.5        1.5
       14.0       13.5       -3.0        3.6
       21.9       15.5       -2.8        1.9
       26.9       17.8       -3.6       -0.8
       27.0       19.3       -6.1       -1.3
       22.6       18.3       -8.8       -0.8
       16.5       15.0      -10.0       -0.6
       11.6       12.6       -9.9       -0.4
       10.0       13.3       -9.1        0.5
       10.5       15.0       -9.0        1.8
       10.5       15.6       -9.8        3.0
        8.4       14.6      -10.8        4.5
        4.5       12.3      -11.8        7.3
        1.0        9.5      -12.5       10.3
        0.1        7.6      -12.9       11.3
        2.1        8.1      -12.8        9.5
        5.8       11.3      -12.4        5.8
        8.8       16.0      -12.0        1.5
        8.5       19.6      -11.8       -0.8
        4.4       19.3      -11.3       -0.1
       -1.1       14.9       -9.8        1.5
       -4.1       10.3       -7.1        1.6
       -2.0        8.9       -3.8       -0.9
        4.3       11.3       -0.4       -4.4
       11.4       15.8        2.0       -5.5
       16.4       20.3        2.8       -4.5
       17.8       22.8        1.9       -2.8
       15.8       22.8       -0.4       -1.3
       13.3       22.0       -3.4       -0.8
       12.6       22.3       -6.4       -1.6
       14.4       23.1       -9.5       -4.4
       17.6       23.0      -12.1       -8.1
       20.5       21.5      -13.4      -10.3
       21.0       19.1      -12.8      -10.4
       19.4       16.5      -10.5      -10.5
       16.5       14.1       -7.8      -10.6
       13.3       12.0       -5.5       -9.3
       10.5       10.3       -4.6       -6.6
        8.8       11.1       -5.0       -4.4
        8.1       15.3       -5.5       -2.6
        8.6       18.3       -4.4       -0.5
        9.1       16.1       -0.9        3.3
        7.6       11.4        3.9        6.1
        4.3        9.0        8.1        3.8
        0.5        9.9       11.1       -2.4
       -2.6       11.1       13.5       -8.3
       -5.4       11.0       15.8      -13.3
       -8.4        9.9       17.1      -18.5
      -10.6        8.1       16.6      -24.0
      -11.4        6.1       13.9      -27.8
      -11.3        4.4        8.9      -28.6
      -10.5        3.1        2.4      -27.5
       -9.0        2.9       -5.0      -24.6
       -7.1        4.6      -11.8      -20.0
       -4.1        8.1      -16.5      -15.8
       -0.3       10.9      -18.5      -13.4
        3.0       11.8      -17.8      -11.9
        4.1       11.6      -15.3      -10.3
        3.0       11.9      -12.4      -10.1
        0.9       13.9      -10.1      -10.4
       -1.6       17.9       -9.4       -8.4
       -5.9       21.9      -10.4       -6.8
      -11.6       21.9      -11.5       -7.3
      -16.9       16.8      -11.0       -8.8
      -20.6        9.5       -8.9      -10.4
      -22.1        3.9       -6.3      -11.5
      -21.3        0.9       -3.6      -13.1
      -18.5        0.0       -1.5      -15.5
      -14.3        1.5       -1.1      -17.4
       -8.1        5.3       -2.4      -17.8
       -1.4        9.8       -4.0      -17.1
        4.4       14.9       -4.9      -16.9
       10.4       22.6       -4.1      -17.0
       18.3       33.0       -1.0      -16.6
       25.9       42.1        3.6      -14.8
       29.1       45.4        7.4      -11.3
       27.5       42.5        8.8       -8.0
       23.8       37.0        8.3       -6.3
       20.3       31.8        7.0       -5.4
       17.9       28.1        5.8       -5.0
       15.9       26.4        4.4       -4.8
       11.6       25.3        2.9       -3.8
        3.3       23.5        1.5       -4.9
       -6.4       21.4        0.5      -10.4
      -12.5       19.8        1.0      -16.1
      -14.4       17.1        2.9      -17.8
      -15.5       10.5        4.3      -17.3
      -17.8        0.4        4.4      -17.9
      -19.4       -7.5        4.1      -19.0
      -18.8       -8.0        3.9      -18.5
      -16.3       -1.3        4.0      -16.8
      -13.4        7.8        4.6      -15.3
      -11.3       12.5        5.4      -13.8
       -9.9       10.8        5.5      -11.1
       -8.3        6.4        5.0       -8.6
       -6.4        4.1        5.1       -7.5
       -5.1        4.9        6.5       -7.3
       -5.4        5.9        8.5       -6.3
       -6.6        4.3       10.3       -4.1
       -7.6       -0.1       11.1       -2.6
       -7.8       -5.0       11.4       -2.8
       -7.1       -7.5       11.1       -2.9
       -6.8       -5.5       10.3       -0.1
       -8.0        1.4        8.1        5.3
      -10.5       11.4        4.8        9.6
      -11.6       21.4        1.0       10.5
       -9.9       28.5       -2.4        8.5
       -6.0       30.6       -4.6        5.1
       -0.3       27.8       -4.5        0.5
        7.0       22.8       -1.5       -5.6
       13.8       18.9        3.3      -12.3
       17.5       15.4        7.4      -17.9
       17.0       10.6        9.6      -21.1
       13.3        5.5       10.9      -21.1
        9.5        1.9       12.3      -17.1
        7.8        0.6       14.3      -10.3
        7.0        1.1       16.1       -5.1
        4.8        2.4       17.5       -3.5
       -0.1        3.1       18.0       -1.0
       -6.9        2.5       17.1        5.1
      -13.1        1.0       14.3       11.9
      -16.6       -0.1        9.5       15.5
      -16.8       -0.9        4.3       16.3
      -14.5       -2.5       -0.1       17.0
      -11.3       -4.9       -3.1       17.4
       -8.0       -6.0       -4.9       15.0
       -4.8       -4.8       -4.0       10.8
       -1.6       -1.1        0.3        6.4
        1.0        5.4        6.0        1.5
        2.9       13.3       10.6       -3.5
        3.6       17.9       12.3       -6.4
        2.1       15.3       10.4       -7.4
       -2.6        5.5        6.0       -7.5
       -9.3       -6.3        0.5       -7.4
      -14.5      -14.0       -4.3       -8.9
      -15.9      -14.8       -6.8      -10.5
      -12.5       -9.3       -6.8       -9.8
       -6.1       -1.0       -4.9       -7.3
        0.3        6.9       -1.8       -4.5
        6.0       11.5        2.4       -2.1
       10.9       10.1        7.0        0.3
       12.6        2.4       11.3        2.8
        9.6       -6.6       14.3        4.1
        3.8      -10.4       16.0        3.6
       -0.4       -7.3       17.0        2.0
       -0.1       -0.6       17.1        0.3
        2.0        4.9       16.5       -2.4
        2.5        6.8       15.4       -6.6
        1.3        5.1       13.8      -10.3
       -1.0        0.4       11.1      -10.5
       -4.3       -7.0        7.0       -6.5
       -8.9      -15.3        1.8       -0.8
      -13.9      -22.5       -2.6        2.0
      -16.1      -25.4       -4.3        1.3
      -13.5      -20.5       -2.6        1.0
       -7.8       -9.9        1.1        2.4
       -3.4       -1.1        4.3        4.0
       -2.9       -1.0        5.4        5.1
       -4.9      -10.6        6.3        6.0
       -6.8      -25.5        8.1        7.0
       -6.4      -37.9        9.4        7.8
       -2.4      -40.9        8.1        6.9
        5.3      -32.8        5.0        4.9
       14.5      -18.0        2.8        2.9
       20.6       -3.5        1.9       -0.1
       20.3        5.4        0.5       -4.0
       15.0        7.3       -1.8       -6.6
       10.0        4.3       -2.0       -6.8
        8.4       -1.3        0.4       -5.4
        9.4       -6.8        2.8       -5.3
       10.6      -10.1        3.8       -5.8
       10.5      -11.5        4.4       -3.9
        8.3      -11.6        4.8       -0.1
        4.5      -11.5        4.4        2.4
        1.0      -13.3        3.0        1.1
       -1.6      -18.5        1.4       -2.1
       -4.3      -26.9        0.5       -4.1
       -6.9      -35.4        0.4       -4.6
       -8.8      -39.0        0.3       -4.0
       -9.8      -35.0        0.3       -1.4
      -10.1      -25.8        0.8        3.1
      -10.1      -16.5        2.0        7.6
       -9.1      -11.4        4.3       10.3
       -6.1      -12.0        7.3       10.9
       -1.4      -16.3       10.1       10.4
        4.8      -19.8       11.5       10.0
       10.6      -19.8       10.1       11.4
       13.5      -16.6        6.3       12.9
       11.1      -12.4        1.6       10.4
        4.1       -8.9       -2.4        4.9
       -3.6       -7.5       -5.5        0.3
       -7.9       -8.4       -7.6       -2.3
       -6.3       -9.4       -8.3       -3.0
        0.3       -7.6       -7.1       -1.8
        8.5       -2.9       -5.8        1.9
       14.6        1.8       -5.0        6.3
       15.6        3.4       -4.0        9.0
       10.4        0.6       -2.1       10.4
        1.4       -6.6        0.0       11.5
       -6.5      -14.5        1.6       11.6
       -9.8      -17.9        2.8        8.9
       -6.9      -14.6        3.4        3.8
        1.5       -6.0        3.4       -1.4
       13.3        5.0        3.3       -4.6
       26.0       14.9        3.9       -5.0
       36.6       20.5        4.9       -4.4
       42.4       22.1        4.8       -5.5
       43.1       21.8        2.9       -6.9
       40.1       20.3        0.6       -6.3
       35.4       18.9       -0.4       -5.0
       30.3       19.0        0.1       -4.5
       24.5       19.4        1.3       -2.8
       17.1       17.3        1.8        2.0
        7.9       11.6        1.0        7.8
       -2.1        3.6       -0.4       11.6
      -10.9       -5.4       -1.9       13.0
      -16.1      -13.5       -3.8       12.8
      -16.9      -18.8       -5.8       11.3
      -14.9      -21.0       -6.4        9.4
      -13.8      -22.3       -4.8        7.6
      -15.4      -24.0       -1.8        4.6
      -18.1      -24.9        1.3       -0.4
      -19.6      -24.3        3.6       -3.9
      -20.1      -25.3        5.5       -4.8
      -21.4      -29.8        6.9       -7.4
      -24.3      -33.0        7.1      -11.1
      -27.3      -29.1        6.0      -11.3
      -28.3      -17.9        3.6       -7.1
      -26.8       -4.3       -0.1       -1.8
      -23.1        7.0       -4.9        1.1
      -17.8       14.3       -9.8        1.3
      -11.1       17.0      -14.5        0.3
       -4.4       15.5      -18.9       -1.1
        2.4       10.6      -22.5       -1.1
        9.6        4.6      -24.0        1.1
       16.9        0.6      -22.6        3.8
       22.3        0.1      -19.3        4.6
       23.6        1.9      -15.6        4.3
       20.0        3.0      -13.3        3.8
       12.1        0.9      -12.4        2.9
        2.1       -5.0      -11.8        1.9
       -8.3      -13.3       -9.6        3.1
      -17.0      -21.6       -5.4        6.6
      -22.6      -26.9       -0.8        7.6
      -25.4      -27.6        1.9        3.6
      -25.8      -25.8        2.4       -2.8
      -24.8      -24.5        1.9       -7.9
      -25.1      -26.4        1.0      -10.4
      -28.8      -32.0       -0.4      -10.3
      -34.3      -39.5       -1.9       -7.8
      -38.6      -44.6       -3.0       -3.6
      -39.3      -43.3       -4.5       -0.6
      -35.4      -34.9       -7.6       -0.6
      -27.4      -22.3      -11.8       -2.9
      -16.0       -8.6      -14.6       -6.3
       -2.8        3.4      -15.3      -10.1
       10.1       11.9      -14.3      -13.4
       20.4       15.9      -12.3      -15.9
       26.6       16.5       -9.9      -18.6
       29.3       16.0       -7.1      -21.0
       28.9       15.9       -4.5      -21.0
       25.5       16.6       -2.9      -19.1
       20.1       17.3       -2.4      -18.6
       15.0       15.9       -2.0      -19.4
       11.5       11.4       -1.5      -18.8
        8.6        4.8       -1.9      -16.5
        4.5       -1.6       -4.4      -14.5
       -0.3       -6.8       -9.0      -14.3
       -3.8      -11.5      -13.8      -15.3
       -6.5      -16.4      -16.5      -16.1
       -8.8      -20.4      -16.4      -15.5
       -9.4      -23.3      -13.6      -12.4
       -7.8      -25.0       -8.8       -8.3
       -4.9      -25.1       -3.0       -6.6
       -3.3      -23.6        1.6       -7.6
       -4.3      -20.1        4.1       -8.3
       -7.3      -14.9        4.5       -5.6
      -10.3      -10.0        3.5        0.0
      -11.8       -6.8        2.0        3.6
      -11.6       -5.4        0.9        1.9
      -11.0       -6.6        1.3       -1.9
      -11.0      -10.3        3.9       -3.3
      -11.3      -14.5        7.5       -2.1
      -11.0      -18.1       10.0       -1.4
       -9.6      -19.8       10.9       -2.8
       -6.9      -18.8       11.1       -3.9
       -3.9      -16.8       11.4       -2.9
       -2.8      -16.3       11.3       -1.8
       -3.8      -18.0       10.1       -1.3
       -5.5      -20.4        8.1        0.6
       -7.6      -22.5        5.9        3.4
       -9.9      -24.3        4.0        4.1
      -10.8      -24.8        2.8        2.5
       -9.6      -22.8        2.8        0.5
       -7.5      -18.3        4.6       -1.1
       -5.8      -13.0        7.9       -2.5
       -4.8       -8.8       11.0       -3.5
       -4.4       -5.0       12.8       -4.4
       -4.9       -1.0       12.9       -4.5
       -6.1        2.0       11.9       -4.1
       -6.8        3.6        9.9       -4.6
       -5.4        4.4        7.0       -4.4
       -2.0        3.8        4.6       -1.0
        1.6        1.4        3.3        4.5
        3.9       -1.9        2.4       10.3
        3.9       -4.5        2.4       14.4
        1.9       -5.0        4.5       15.3
        0.8       -2.0        9.1       12.5
        3.5        4.8       14.8        7.9
        8.9       13.4       18.8        4.3
       13.0       19.9       20.0        2.9
       14.1       21.8       19.4        2.6
       12.6       20.6       17.8        1.6
        8.9       19.6       15.3        0.4
        3.8       19.4       11.8        0.8
       -0.9       18.0        7.9        2.9
       -3.0       14.1        4.9        5.5
       -2.9        8.9        2.5        8.5
       -2.3        3.9       -0.9       11.1
       -1.9        0.8       -6.0       12.0
       -0.9        1.5      -10.9       13.3
        0.3        5.8      -12.6       16.1
       -0.6       10.3      -10.9       18.0
       -5.9       11.1       -7.5       17.8
      -14.8        7.3       -4.1       16.1
      -22.6        0.6       -0.6       14.5
      -25.5       -6.5        3.3       13.5
      -23.4      -13.8        6.5       11.9
      -19.1      -21.0        8.4        8.5
      -15.0      -25.9        8.4        4.1
      -11.1      -24.9        6.3       -0.3
       -7.3      -16.9        3.3       -3.6
       -3.3       -5.3        1.3       -4.9
        1.1        5.3        0.6       -4.1
        4.6       11.3        0.3       -2.1
        6.0       12.6       -0.9       -0.5
        6.3       11.6       -2.4       -0.5
        7.9       11.5       -3.1       -1.5
       12.4       13.9       -2.3       -1.5
       19.4       17.5        0.8        0.9
       27.1       19.4        5.4        4.8
       32.4       17.5        9.6        7.6
       32.4       13.4       11.0        8.6
       27.8        9.5        8.9        7.3
       22.4        7.3        4.8        3.1
       19.0        6.1        0.4       -2.6
       17.4        5.1       -3.5       -7.9
       17.6        4.0       -6.3      -11.6
       21.6        5.1       -8.0      -13.6
       29.0        9.5       -8.9      -13.9
       36.3       15.8       -8.9      -14.3
       40.6       23.1       -8.4      -14.9
       41.9       30.9       -7.6      -14.0
       41.3       38.0       -6.9      -10.9
       39.5       42.9       -5.6       -5.6
       36.0       44.0       -2.9        1.1
       29.8       40.9        1.6        8.3
       21.1       33.9        6.0       14.3
       11.8       23.4        7.9       16.8
        4.4       10.3        6.6       14.3
        0.5       -3.9        4.0        7.6
       -0.9      -17.3        2.5       -1.6
       -0.8      -27.4        2.5      -11.5
        0.8      -31.6        2.6      -19.4
        3.3      -29.1        2.3      -24.0
        5.6      -21.9        1.4      -25.9
        7.3      -13.0       -0.4      -25.6
        8.3       -5.5       -2.8      -23.6
        8.4       -2.6       -4.9      -20.9
        7.3       -5.5       -6.0      -19.9
        5.6      -10.9       -5.8      -20.4
        5.4      -14.5       -4.6      -19.5
        7.5      -15.0       -2.8      -16.0
       10.8      -13.6        0.0      -10.9
       13.8      -12.3        3.0       -6.3
       15.5      -11.4        4.9       -3.0
       14.3      -12.4        5.0       -1.0
        7.5      -17.1        4.1       -0.9
       -4.4      -25.5        3.9       -3.1
      -17.8      -34.9        4.9       -6.9
      -28.4      -42.5        6.1      -11.1
      -33.6      -47.0        6.5      -15.4
      -34.6      -49.4        5.9      -17.6
      -34.8      -52.5        4.3      -17.5
      -36.0      -57.4        2.1      -17.5
      -37.9      -62.1       -0.1      -18.6
      -38.8      -64.6       -2.1      -19.0
      -38.3      -64.6       -3.4      -17.6
      -36.5      -63.3       -4.4      -15.0
      -33.4      -61.0       -5.6      -12.8
      -28.5      -57.6       -5.9      -11.5
      -23.1      -53.5       -4.1      -10.4
      -19.6      -49.5       -0.9       -8.3
      -19.8      -46.5        2.8       -5.5
      -23.0      -44.6        6.4       -2.9
      -27.5      -43.9        9.5       -1.1
      -31.8      -44.6       11.8       -0.3
      -36.5      -47.1       12.1       -0.4
      -43.3      -51.0       10.3       -2.4
