       EEG1       EEG2       EEG3       EEG4
       30.5       23.3       -0.4        7.8
       17.9        6.6        1.9        8.1
        1.4      -12.6        2.4        8.4
      -11.3      -26.4        1.8        7.1
      -14.9      -27.5        1.9        5.0
      -10.8      -16.0        3.5        4.6
       -5.0        0.0        5.6        6.1
       -1.0       10.6        8.6        6.5
        0.9       11.5       12.6        4.9
        0.1        6.9       15.0        2.6
       -2.9        2.8       14.5       -0.5
       -6.8       -1.0       13.0       -4.9
      -11.0       -7.5       12.4       -8.6
      -14.9      -16.9       11.8      -10.1
      -15.6      -24.1        9.8       -9.4
      -11.6      -24.4        6.6       -6.8
       -4.9      -17.4        3.3       -3.9
        0.4       -5.5        0.8       -4.0
        2.5        8.6       -0.4       -4.1
        2.9       20.5       -0.8        0.0
        2.3       26.6       -1.1        2.4
        1.5       27.4       -1.6       -1.9
        3.3       25.1       -1.1       -7.6
        7.5       20.3        0.4       -8.1
       10.4       12.5        1.3       -2.9
       10.6        5.3        0.8        2.6
        9.4        0.9       -0.3        5.8
        5.3       -1.6       -1.4        9.1
       -4.3       -2.6       -2.9       13.3
      -17.8       -2.8       -3.6       15.8
      -29.6       -4.0       -2.6       16.9
      -35.0       -8.5       -1.3       18.0
      -34.1      -15.9       -1.4       17.3
      -30.5      -23.5       -2.1       12.9
      -27.1      -29.3       -1.6        6.4
      -26.4      -32.8       -0.3       -0.4
      -28.9      -34.5        0.5       -6.4
      -32.6      -34.6        0.0      -11.3
      -34.6      -31.5       -0.8      -15.0
      -32.8      -25.4       -0.5      -18.6
      -26.5      -18.8        0.4      -22.4
      -16.1      -14.9        0.9      -25.8
       -3.1      -14.0        0.8      -25.4
        9.9      -10.8        0.3      -16.3
       19.5       -1.4       -0.5       -4.8
       24.4        9.9       -1.3       -1.9
       26.5       19.4       -1.9       -6.6
       28.3       27.1       -1.8      -10.9
       29.6       32.5        0.3      -10.1
       28.8       33.9        3.5       -6.9
       24.6       30.1        5.4       -4.5
       18.5       22.0        3.9       -1.5
       11.8       12.3       -1.0        3.0
        5.9        3.8       -6.9        6.1
        2.3       -2.4       -9.8        6.9
        0.4       -7.1       -8.8        6.8
       -1.6      -12.3       -6.4        7.4
       -3.1      -18.3       -4.6        7.4
       -3.0      -22.3       -4.6        2.4
       -2.0      -20.8       -6.3       -5.9
       -1.6      -15.4       -7.5      -11.1
       -3.3      -12.0       -6.6       -9.9
       -6.6      -14.3       -3.6       -3.9
      -11.4      -19.6        0.0        0.6
      -17.8      -23.9        3.1        1.6
      -25.1      -25.8        5.9        1.5
      -31.9      -25.5        8.3        0.0
      -36.9      -23.3        9.5       -3.6
      -39.8      -20.1        9.6       -7.8
      -40.8      -17.8        9.4      -11.5
      -40.0      -16.4        9.0      -14.1
      -38.0      -15.0        8.0      -11.6
      -34.6      -12.3        7.3       -5.8
      -30.8       -8.6        7.1       -4.3
      -28.9       -6.5        5.9       -6.1
      -29.9       -7.6        1.8       -5.6
      -30.9      -12.6       -3.3       -1.9
      -27.5      -20.3       -6.8        2.8
      -19.0      -27.9       -9.3        5.3
      -10.5      -31.9      -12.9        4.6
       -5.6      -29.1      -18.1        2.9
       -3.0      -19.5      -22.8        0.5
        0.5       -7.5      -24.5       -2.1
        6.4       -0.1      -22.8       -4.1
       13.0        0.6      -17.8       -7.4
       16.5       -2.8      -10.3      -10.0
       14.1       -7.4       -1.9       -6.6
        8.0      -11.0        5.5       -0.9
        2.5      -12.8       10.1        1.0
       -0.3      -12.6       11.4        0.6
        0.4      -10.3       10.5        0.9
        4.4       -6.1        9.0        3.0
       10.6       -1.6        7.4        5.1
       17.1        5.0        6.1        4.4
       22.0       15.4        5.5        2.5
       25.1       26.4        5.0        1.8
       26.9       33.6        3.1        0.8
       26.0       36.0       -1.0       -0.9
       22.1       33.6       -4.8       -2.4
       16.3       26.5       -5.6       -3.9
        8.5       14.9       -4.6       -3.1
        0.0        1.6       -3.6        1.5
       -6.6       -9.6       -4.1        5.9
      -10.3      -17.9       -6.4        7.8
      -12.1      -23.9       -7.9        9.4
      -14.4      -26.6       -7.5       11.5
      -16.5      -23.6       -6.9       13.1
      -14.8      -15.5       -7.1       14.3
       -7.1       -5.8       -8.3       15.3
        4.4        3.9       -8.9       16.4
       17.1       12.1       -7.3       17.3
       28.8       17.6       -4.0       16.6
       37.3       21.9       -0.6       14.1
       41.3       27.4        1.8       11.4
       40.8       34.4        2.5        9.4
       37.5       40.5        1.9        7.6
       32.8       43.4        1.4        5.8
       26.5       44.4        1.1        8.4
       20.8       45.6        0.5       15.9
       19.0       45.3       -0.6       18.3
       21.9       39.6       -1.5       12.4
       26.9       28.9       -0.9        5.1
       31.5       17.8        2.1        1.4
       35.4       12.0        6.0        0.9
       39.1       14.3        8.1        0.5
       42.6       23.1        7.4       -0.5
       45.0       35.5        4.4       -1.0
       45.4       47.1        0.3       -2.4
       43.8       54.0       -3.8       -4.9
       39.9       54.0       -6.8       -7.4
       34.3       45.9       -8.5      -11.0
       27.8       30.4       -8.1      -14.9
       20.9       12.6       -6.3      -14.1
       13.8       -1.0       -5.0      -11.0
        7.5       -7.3       -4.5      -12.9
        3.9       -7.3       -3.4      -17.9
        3.9       -3.5       -1.6      -18.1
        6.8        1.1        0.1      -12.5
       10.4        3.6        1.8       -7.4
       13.6        2.1        3.4       -7.1
       15.8       -3.3        5.1       -9.8
       15.1       -9.8        6.1      -11.9
       10.6      -15.4        5.4      -11.9
        4.3      -19.9        3.6       -9.8
       -0.3      -21.4        2.8       -7.5
       -0.9      -19.1        3.1       -8.0
        0.4      -17.0        4.3      -11.3
        0.1      -18.8        5.1      -15.3
       -3.9      -22.5        4.3      -18.4
      -10.8      -23.5        1.8      -17.4
      -17.5      -20.9       -1.8      -13.9
      -22.3      -18.4       -5.5      -15.3
      -24.5      -19.3       -8.9      -21.1
      -23.9      -23.1      -11.0      -24.1
      -19.6      -27.5      -10.0      -21.8
      -12.3      -29.6       -6.0      -18.5
       -3.9      -27.6       -0.9      -17.6
        2.1      -23.8        2.8      -16.8
        3.0      -22.0        4.1      -13.6
       -0.8      -21.8        5.6      -11.1
       -6.1      -19.6        9.5      -12.1
      -10.4      -15.4       14.3      -14.5
      -13.6      -12.9       15.9      -15.5
      -16.1      -14.4       12.4      -15.1
      -16.6      -17.8        6.4      -14.5
      -14.8      -20.5        1.3      -13.3
      -12.5      -22.9       -1.1       -8.5
      -13.0      -25.8       -0.3       -2.3
      -17.0      -27.0        2.6        1.1
      -22.0      -23.5        5.8        2.8
      -24.6      -15.8        7.1        5.8
      -23.9       -7.3        5.3       10.6
      -20.1       -1.1        1.0       13.9
      -14.0        1.6       -3.6       11.5
       -6.5        2.1       -6.6        6.1
        1.0        1.5       -6.6        2.3
        7.0        1.4       -3.9       -0.5
        9.6        3.5        0.1       -2.3
        6.3        7.4        2.8       -1.6
       -3.1       11.0        2.6       -0.3
      -13.8       13.5        2.1        1.3
      -20.3       15.0        3.0        4.5
      -21.0       15.4        4.5       10.0
      -19.5       14.8        4.8       16.4
      -20.0       13.9        3.0       18.3
      -22.3       13.5       -0.9       12.9
      -22.4       14.8       -6.3        5.8
      -17.8       19.0      -12.3        2.9
      -10.1       25.1      -17.6        3.6
       -3.8       29.3      -21.5        3.1
       -1.9       27.8      -24.0       -0.1
       -4.5       20.8      -25.1       -2.3
       -9.5       12.6      -24.6       -0.6
      -13.6        7.4      -22.6        3.8
      -14.6        5.4      -19.3        8.9
      -12.8        4.8      -14.4       12.8
      -10.0        4.8       -8.8       15.0
       -7.8        4.5       -5.1       16.9
       -6.8        4.1       -5.3       17.9
       -6.6        4.3       -7.8       18.6
       -6.6        2.6      -10.1       18.1
       -6.4       -0.4      -11.0       11.6
       -5.1        0.4       -9.9        1.9
       -2.8        7.4       -7.8       -3.0
       -0.3       16.8       -5.6       -0.3
        2.4       24.3       -2.5        6.6
        4.4       28.6        2.0       12.3
        3.0       29.3        5.8       16.1
       -2.0       24.6        7.3       19.1
       -8.1       14.9        7.1       19.1
      -12.8        5.0        6.5       15.8
      -14.6       -0.3        5.8       12.8
      -14.9       -1.9        3.9       11.5
      -14.8       -2.0        0.0        9.4
      -15.0       -1.3       -5.3        6.6
      -15.5       -1.4      -10.8        6.8
      -16.4       -5.0      -15.1       10.8
      -18.0      -12.5      -16.8       13.8
      -20.1      -19.9      -15.5       10.0
      -22.1      -22.1      -12.5        2.4
      -22.5      -18.0       -9.0       -2.0
      -20.6      -11.5       -5.8       -0.5
      -18.5       -7.4       -3.5        3.4
      -17.9       -5.8       -2.3        4.4
      -18.8       -4.9       -1.3        3.3
